date,interest,keyword,query_combined
2021-12-01,40,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2022-01-01,37,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2022-02-01,36,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2022-03-01,37,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2022-04-01,44,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2022-05-01,36,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2022-06-01,36,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2022-07-01,32,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2022-08-01,34,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2022-09-01,40,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2022-10-01,55,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2022-11-01,87,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2022-12-01,39,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2023-01-01,41,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2023-02-01,40,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2023-03-01,40,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2023-04-01,39,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2023-05-01,38,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2023-06-01,37,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2023-07-01,33,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2023-08-01,31,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2023-09-01,43,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2023-10-01,56,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2023-11-01,88,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2023-12-01,38,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2024-01-01,42,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2024-02-01,48,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2024-03-01,40,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2024-04-01,40,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2024-05-01,36,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2024-06-01,35,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2024-07-01,32,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2024-08-01,32,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2024-09-01,40,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2024-10-01,65,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2024-11-01,86,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2024-12-01,42,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2025-01-01,43,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2025-02-01,43,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2025-03-01,42,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2025-04-01,41,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2025-05-01,49,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2025-06-01,39,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2025-07-01,38,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2025-08-01,36,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2025-09-01,44,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2025-10-01,63,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2025-11-01,100,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2025-12-01,47,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2026-01-01,47,Movember,Movember + cancer prostate + dépistage prostate + santé homme + moustache movember
2015-01-01,9,Octobre rose,Octobre rose + cancer du sein + mammographie + ruban rose + dépistage sein
2015-02-01,10,Octobre rose,Octobre rose + cancer du sein + mammographie + ruban rose + dépistage sein
2015-03-01,10,Octobre rose,Octobre rose + cancer du sein + mammographie + ruban rose + dépistage sein
2015-04-01,10,Octobre rose,Octobre rose + cancer du sein + mammographie + ruban rose + dépistage sein
2015-05-01,9,Octobre rose,Octobre rose + cancer du sein + mammographie + ruban rose + dépistage sein
2015-06-01,9,Octobre rose,Octobre rose + cancer du sein + mammographie + ruban rose + dépistage sein
2015-07-01,8,Octobre rose,Octobre rose + cancer du sein + mammographie + ruban rose + dépistage sein
2015-08-01,9,Octobre rose,Octobre rose + cancer du sein + mammographie + ruban rose + dépistage sein
2015-09-01,14,Octobre rose,Octobre rose + cancer du sein + mammographie + ruban rose + dépistage sein
2015-10-01,24,Octobre rose,Octobre rose + cancer du sein + mammographie + ruban rose + dépistage sein
2015-11-01,10,Octobre rose,Octobre rose + cancer du sein + mammographie + ruban rose + dépistage sein
2015-12-01,9,Octobre rose,Octobre rose + cancer du sein + mammographie + ruban rose + dépistage sein
2016-01-01,11,Octobre rose,Octobre rose + cancer du sein + mammographie + ruban rose + dépistage sein
2016-02-01,11,Octobre rose,Octobre rose + cancer du sein + mammographie + ruban rose + dépistage sein
