year;date;google_trends;day_index
2019;25/01/2019;0;31
2019;26/01/2019;0;32
2019;27/01/2019;0;33
2019;28/01/2019;0;34
2019;29/01/2019;0;35
2019;30/01/2019;0;36
2019;31/01/2019;7;37
2019;01/02/2019;8;38
2019;02/02/2019;0;39
2019;03/02/2019;0;40
2019;04/02/2019;0;41
2019;05/02/2019;0;42
2019;06/02/2019;0;43
2020;26/12/2019;8;1
2020;27/12/2019;11;2
2020;28/12/2019;7;3
2020;29/12/2019;14;4
2020;30/12/2019;25;5
2020;31/12/2019;21;6
2020;01/01/2020;100;7
2020;02/01/2020;100;8
2020;03/01/2020;71;9
2020;04/01/2020;64;10
2020;05/01/2020;42;11
2020;06/01/2020;38;12
2020;07/01/2020;29;13
2020;08/01/2020;26;14
2020;09/01/2020;23;15
2020;10/01/2020;30;16
2020;11/01/2020;20;17
2020;12/01/2020;16;18
2020;13/01/2020;15;19
2020;14/01/2020;19;20
2020;15/01/2020;16;21
2020;16/01/2020;13;22
2020;17/01/2020;18;23
2020;18/01/2020;14;24
2020;19/01/2020;14;25
2020;20/01/2020;10;26
2020;21/01/2020;11;27
2020;22/01/2020;9;28
2020;23/01/2020;11;29
2020;24/01/2020;12;30
2020;25/01/2020;13;31
2020;26/01/2020;9;32
2020;27/01/2020;9;33
2020;28/01/2020;9;34
2020;29/01/2020;9;35
2020;30/01/2020;10;36
2020;31/01/2020;8;37
2020;01/02/2020;8;38
2020;02/02/2020;11;39
2020;03/02/2020;5;40
2020;04/02/2020;7;41
2020;05/02/2020;7;42
2020;06/02/2020;5;43
2021;26/12/2020;0;1
2021;27/12/2020;10;2
2021;28/12/2020;12;3
2021;29/12/2020;9;4
2021;30/12/2020;14;5
2021;31/12/2020;18;6
2021;01/01/2021;76;7
2021;02/01/2021;88;8
2021;03/01/2021;64;9
2021;04/01/2021;100;10
2021;05/01/2021;80;11
2021;06/01/2021;52;12
2021;07/01/2021;37;13
2021;08/01/2021;41;14
2021;09/01/2021;32;15
2021;10/01/2021;28;16
2021;11/01/2021;55;17
2021;12/01/2021;25;18
2021;13/01/2021;22;19
2021;14/01/2021;22;20
2021;15/01/2021;23;21
2021;16/01/2021;18;22
2021;17/01/2021;16;23
2021;18/01/2021;10;24
2021;19/01/2021;9;25
2021;20/01/2021;9;26
2021;21/01/2021;10;27
2021;22/01/2021;17;28
2021;23/01/2021;12;29
2021;24/01/2021;11;30
2021;25/01/2021;0;31
2021;26/01/2021;0;32
2021;27/01/2021;9;33
2021;28/01/2021;10;34
2021;29/01/2021;0;35
2021;30/01/2021;9;36
2021;31/01/2021;16;37
2021;01/02/2021;13;38
2021;02/02/2021;0;39
2021;03/02/2021;0;40
2021;04/02/2021;0;41
2021;05/02/2021;0;42
2021;06/02/2021;0;43
2022;26/12/2021;0;1
2022;27/12/2021;0;2
2022;28/12/2021;8;3
2022;29/12/2021;0;4
2022;30/12/2021;11;5
2022;31/12/2021;14;6
2022;01/01/2022;100;7
2022;02/01/2022;85;8
2022;03/01/2022;76;9
2022;04/01/2022;61;10
2022;05/01/2022;53;11
2022;06/01/2022;39;12
2022;07/01/2022;34;13
2022;08/01/2022;31;14
2022;09/01/2022;24;15
2022;10/01/2022;18;16
2022;11/01/2022;21;17
2022;12/01/2022;13;18
2022;13/01/2022;11;19
2022;14/01/2022;13;20
2022;15/01/2022;10;21
2022;16/01/2022;11;22
2022;17/01/2022;13;23
2022;18/01/2022;11;24
2022;19/01/2022;11;25
2022;20/01/2022;13;26
2022;21/01/2022;11;27
2022;22/01/2022;11;28
2022;23/01/2022;8;29
2022;24/01/2022;7;30
2022;25/01/2022;7;31
2022;26/01/2022;0;32
2022;27/01/2022;8;33
2022;28/01/2022;7;34
2022;29/01/2022;0;35
2022;30/01/2022;12;36
2022;31/01/2022;12;37
2022;01/02/2022;21;38
2022;02/02/2022;8;39
2022;03/02/2022;0;40
2022;04/02/2022;0;41
2022;05/02/2022;0;42
2022;06/02/2022;0;43
2023;26/12/2022;9;1
2023;27/12/2022;8;2
2023;28/12/2022;8;3
2023;29/12/2022;13;4
2023;30/12/2022;20;5
2023;31/12/2022;24;6
2023;01/01/2023;80;7
2023;02/01/2023;100;8
2023;03/01/2023;69;9
2023;04/01/2023;60;10
2023;05/01/2023;59;11
2023;06/01/2023;56;12
2023;07/01/2023;67;13
2023;08/01/2023;43;14
2023;09/01/2023;47;15
2023;10/01/2023;27;16
2023;11/01/2023;22;17
2023;12/01/2023;23;18
2023;13/01/2023;22;19
2023;14/01/2023;21;20
2023;15/01/2023;24;21
2023;16/01/2023;17;22
2023;17/01/2023;15;23
2023;18/01/2023;12;24
2023;19/01/2023;16;25
2023;20/01/2023;11;26
2023;21/01/2023;11;27
2023;22/01/2023;16;28
2023;23/01/2023;15;29
2023;24/01/2023;10;30
2023;25/01/2023;9;31
2023;26/01/2023;13;32
2023;27/01/2023;14;33
2023;28/01/2023;11;34
2023;29/01/2023;15;35
2023;30/01/2023;19;36
2023;31/01/2023;24;37
2023;01/02/2023;18;38
2023;02/02/2023;10;39
2023;03/02/2023;7;40
2023;04/02/2023;9;41
2023;05/02/2023;7;42
2023;06/02/2023;8;43
2024;26/12/2023;8;1
2024;27/12/2023;7;2
2024;28/12/2023;14;3
2024;29/12/2023;59;4
2024;30/12/2023;23;5
2024;31/12/2023;27;6
2024;01/01/2024;100;7
2024;02/01/2024;97;8
2024;03/01/2024;65;9
2024;04/01/2024;51;10
2024;05/01/2024;53;11
2024;06/01/2024;57;12
2024;07/01/2024;51;13
2024;08/01/2024;39;14
2024;09/01/2024;37;15
2024;10/01/2024;28;16
2024;11/01/2024;33;17
2024;12/01/2024;36;18
2024;13/01/2024;25;19
2024;14/01/2024;22;20
2024;15/01/2024;18;21
2024;16/01/2024;15;22
2024;17/01/2024;11;23
2024;18/01/2024;14;24
2024;19/01/2024;12;25
2024;20/01/2024;14;26
2024;21/01/2024;10;27
2024;22/01/2024;7;28
2024;23/01/2024;6;29
2024;24/01/2024;9;30
2024;25/01/2024;9;31
2024;26/01/2024;9;32
2024;27/01/2024;7;33
2024;28/01/2024;8;34
2024;29/01/2024;9;35
2024;30/01/2024;9;36
2024;31/01/2024;11;37
2024;01/02/2024;10;38
2024;02/02/2024;9;39
2024;03/02/2024;5;40
2024;04/02/2024;7;41
2024;05/02/2024;5;42
2024;06/02/2024;6;43
2025;26/12/2024;8;1
2025;27/12/2024;16;2
2025;28/12/2024;14;3
2025;29/12/2024;19;4
2025;30/12/2024;17;5
2025;31/12/2024;28;6
2025;01/01/2025;81;7
2025;02/01/2025;100;8
2025;03/01/2025;58;9
2025;04/01/2025;50;10
2025;05/01/2025;68;11
