campaign,year,date,title,url,media_name,media_url,title_clean,lang,lang_score,short_title,fr_hints,en_hints,lang_class
Octobre Rose,2018,02-10-18,S'exposer pour que d'autres femmes ne soient pas exposées,https://www.ladepeche.fr/article/2018/10/02/2880001-exposer-autres-femmes-soient-exposees.html,ladepeche.fr,ladepeche.fr,S'exposer pour que d'autres femmes ne soient pas exposées,fr,-210.86637210845947,False,2,0,fr
Octobre Rose,2018,03-10-18,"Octobre rose : cancer du sein, dépister pour mieux soigner",https://www.ladepeche.fr/article/2018/10/03/2880675-octobre-rose-cancer-du-sein-depister-pour-mieux-soigner.html,ladepeche.fr,ladepeche.fr,"Octobre rose : cancer du sein, dépister pour mieux soigner",fr,-208.08066082000732,False,2,0,fr
Octobre Rose,2018,04-10-18,le programme des manifestations,https://www.tntv.pf/Octobre-Rose-le-programme-des-manifestations_a28155.html,tntv.pf,tntv.pf,le programme des manifestations,fr,-37.668829917907715,False,2,0,fr
Octobre Rose,2018,18-10-18,"Mag Pharm: Octobre rose, Tous concernés",https://www.algerie360.com/mag-pharm-octobre-rose-tous-concernes/,algerie360.com,algerie360.com,"Mag Pharm: Octobre rose, Tous concernés",fr,-65.5689263343811,False,0,0,fr
Octobre Rose,2018,20-10-18,"Demain, mobilisation rose contre le cancer du sein",https://www.ladepeche.fr/article/2018/10/20/2891690-demain-mobilisation-rose-contre-le-cancer-du-sein.html,ladepeche.fr,ladepeche.fr,"Demain, mobilisation rose contre le cancer du sein",fr,-94.22926139831543,False,3,0,fr
Octobre Rose,2018,26-10-18,Quand octobre rose vire au noir,https://www.alternativesante.fr/cancer/quand-octobre-rose-vire-au-noir,alternativesante.fr,alternativesante.fr,Quand octobre rose vire au noir,fr,-105.3447961807251,False,1,0,fr
Octobre Rose,2018,31-10-18,Octobre Rose : Un naufrage de la santé publique,http://www.snjmg.org/blog/post/octobre-rose-un-naufrage-de-la-sante-publique/1543,snjmg.org,snjmg.org,Octobre Rose : Un naufrage de la santé publique,fr,-172.28321838378906,False,3,0,fr
Octobre Rose,2019,27-09-19,"""Prends soin de toi et de ta santé, fais ta radio titi""",https://www.tahiti-infos.com/Prends-soin-de-toi-et-de-ta-sante-fais-ta-radio-titi_a185357.html,tahiti-infos.com,tahiti-infos.com,"""Prends soin de toi et de ta santé, fais ta radio titi""",fr,-137.62028121948242,False,3,0,fr
Octobre Rose,2019,30-09-19,la polyclinique de Kério à Noyal-Pontivy se mobilise pour Octobre Rose,https://actu.fr/bretagne/pontivy_56178/cancer-sein-polyclinique-kerio-noyal-pontivy-se-mobilise-octobre-rose_27698401.html,fr,fr,la polyclinique de Kério à Noyal-Pontivy se mobilise pour Octobre Rose,fr,-239.8825273513794,False,3,0,fr
Octobre Rose,2019,30-09-19,des journées d'information en Vendée,https://actu.fr/societe/octobre-rose-journees-sensibilisation-vendee_27639591.html,fr,fr,des journées d'information en Vendée,fr,-151.80152320861816,False,2,0,fr
Octobre Rose,2019,03-10-19,VIDEO. L'hôpital de Lisieux danse la Macarena pour Octobre Rose,https://actu.fr/normandie/lisieux_14366/video-lhopital-lisieux-danse-macarena-octobre-rose_28140442.html,fr,fr,VIDEO. L'hôpital de Lisieux danse la Macarena pour Octobre Rose,fr,-156.1835231781006,False,3,0,fr
Octobre Rose,2019,04-10-19,Alexandra Rosenfeld topless : elle passe un message à sa mère (et à toutes les femmes),https://www.elle.fr/Societe/News/Alexandra-Rosenfeld-topless-elle-passe-un-message-a-sa-mere-et-a-toutes-les-femmes-3821545#utm_source=RSS-ELLE&utm_medium=Flux-Rss&utm_campaign=RSS_tout_ELLE,elle.fr,elle.fr,Alexandra Rosenfeld topless : elle passe un message à sa mère (et à toutes les femmes),fr,-350.9731192588806,False,3,0,fr
Octobre Rose,2019,11-10-19,"mardi, grande journée de prévention du cancer du sein",https://actu.fr/occitanie/montpellier_34172/chu-montpellier-mardi-grande-journee-prevention-cancer-sein_28351045.html,fr,fr,"mardi, grande journée de prévention du cancer du sein",fr,-237.7660813331604,False,3,0,fr
Octobre Rose,2019,21-10-19,« La seule arme efficace c’est de faire une mammographie » — TSA,https://www.tsa-algerie.com/cancer-du-sein-la-seule-arme-efficace-cest-de-faire-une-mammographie/,tsa-algerie.com,tsa-algerie.com,« La seule arme efficace c'est de faire une mammographie » - TSA,fr,-137.75652074813843,False,3,0,fr
Octobre Rose,2019,22-10-19,Octobre Rose : un mois dédié à la lutte contre le cancer du sein,http://www.gouv.mc//A-la-Une-du-Portail/Octobre-Rose-un-mois-dedie-a-la-lutte-contre-le-cancer-du-sein,gouv.mc,gouv.mc,Octobre Rose : un mois dédié à la lutte contre le cancer du sein,fr,-277.788161277771,False,6,0,fr
Octobre Rose,2019,31-10-19,Une journaliste découvre en direct qu'elle est atteinte d'un cancer,https://fr.metrotime.be/2019/10/31/actualite/une-journaliste-decouvre-en-direct-quelle-est-atteinte-dun-cancer/,metrotime.be,metrotime.be,Une journaliste découvre en direct qu'elle est atteinte d'un cancer,fr,-268.2700996398926,False,3,0,fr
Octobre Rose,2020,13-01-20,Cancer du sein: l'intelligence artificielle au secours du dépistage,http://www.francesoir.fr/societe-sante/lia-ameliore-t-elle-le-diagnostic-precoce-du-cancer-du-sein,francesoir.fr,francesoir.fr,Cancer du sein: l'intelligence artificielle au secours du dépistage,fr,-246.9423313140869,False,3,0,fr
Octobre Rose,2020,30-09-20,Situation alarmante du cancer au Sénégal,https://senego.com/situation-alarmante-du-cancer-au-senegal-1841-cas-diagnostiques-en-2019-dr-babacar-gueye_1163971.html,senego.com,senego.com,Situation alarmante du cancer au Sénégal,fr,-145.8724102973938,False,2,0,fr
Octobre Rose,2020,01-10-20,Pontivy se met en harmonie avec « Octobre rose »,https://www.letelegramme.fr/morbihan/pontivy/pontivy-se-met-en-harmonie-avec-octobre-rose-01-10-2020-12629096.php?utm_source=rss_telegramme&utm_medium=rss&utm_campaign=rss&xtor=RSS-21,letelegramme.fr,letelegramme.fr,Pontivy se met en harmonie avec « Octobre rose »,fr,-209.22080612182617,False,2,0,fr
Octobre Rose,2020,01-10-20,"""Fais ta radio titi !"" • TNTV Tahiti Nui Télévision",https://www.tntv.pf/tntvnews/polynesie/societe/octobre-rose-2020-fais-ta-radio-titi/,tntv.pf,tntv.pf,"""Fais ta radio titi !"" • TNTV Tahiti Nui Télévision",fr,-134.2523922920227,False,0,0,fr
